Település;KSH_kód;Belterület_Terület_(ha);Belterület_Vetület;Belterület_Méretarány;Belterület_Feldolgozás;Belterület_Felmérés_éve;Belterület_Helyesbítés_éve;Külterület_Terület_(ha);Külterület_Vetület;Külterület_Méretarány;Külterület_Feldolgozás;Külterület_Felmérés_éve;Külterület_Helyesbítés_éve;Zártkert_Terület_(ha);Zártkert_Vetület;Zártkert_Méretarány;Zártkert_Feldolgozás;Zártkert_Felmérés_éve;Zártkert_Helyesbítés_éve
Kunadacs;585;134;HKR;1:2000;-;-;-;8856;HKR;1:2000;-;-;1979;0;;;-;-;-
Kunbaja;604;209;HDR;1:2000;-;-;-;3163;HDR;1:4000;-;-;1978;0;;;-;-;-
Kunbaracs;772;56;Szt;1:2880;-;1880;1961;5456;Szt;1:2880;-;-;1977;0;;;-;-;-
Kunfehértó;2902;210;Szt;1:2000;-;1969;1977;7627;Szt;1:2880;-;1969;1976;0;;;-;-;-
Kunpeszér;3191;104;HKR;1:2000;-;-;-;7542;HKR;1:2000;-;-;1977;109;HKR;;-;-;-
Kunszállás;3189;99;Szt;1:2000;-;1879;1975;1986;Szt;1:2880;-;1974;-;0;;;-;-;-
Kunszentmiklós;2813;621;HKR;1:1000;-;-;-;16519;Szt;1:4000;-;-;1977;41;Szt;;-;-;1994
Ladánybene;578;68;Szt;1:2880;-;-;1977;4006;Szt;1:2880;-;1959;1977;0;;;-;-;-
Lajosmizse;1767;492;Szt;1:2000;-;1972;-;15889;Szt;1:4000;-;1976;-;84;Szt;1:4000;-;1976;-
Lakitelek;620;447;EOV;1:2000;-;1984;-;5019;EOV;1:4000;-;1985;-;0;;;-;-;-
Madaras;2335;400;HDR;1:2000;-;-;-;4530;Szt;1:2880;-;-;1973;0;;;-;-;-
Mátételke;2780;112;EOV;1:2000;-;-;-;2680;Szt;1:2880;-;-;1978;0;;;-;-;-
Mélykút;1601;530;DAT;1:2000;-;2005;-;11554;DAT;1:4000;-;2005;-;262;DAT;1:2000;-;2005;-
Miske;3063;193;HKR;1:2000;-;1979;-;4034;EOV;1:4000;-;1983;-;0;;;-;-;-
Móricgát;3409;68;HKR;1:2000;-;-;-;3209;Szt;1:2880;-;-;-;0;;;-;-;-
Nagybaracska;2595;244;EOV;1:2000;-;1991;-;3546;EOV;1:4000;-;1991;-;5;EOV;1:4000;-;1991;-
Nemesnádudvar;3254;220;DAT;1:2000;-;2005;-;5591;DAT;1:4000;-;2005;-;66;DAT;1:4000;-;2005;-
Nyárlõrinc;2305;169;EOV;1:2000;-;1982;-;6426;EOV;1:4000;-;1983;-;41;EOV;1:4000;-;1983;-
Ordas;1627;70;DAT;1:2000;-;2005;-;1494;DAT;1:4000;-;2005;-;67;DAT;1:2000;-;2005;-
Orgovány;1693;220;EOV;1:2000;-;1988;-;9696;EOV;1:4000;-;1988;-;0;;;-;-;-
Öregcsertõ;867;175;HKR;1:2000;-;1979;-;4103;HKR;1:2000;-;1979;-;0;;;-;-;-
Páhi;1867;133;EOV;1:2000;-;1986;-;3683;EOV;1:4000;-;1986;-;71;EOV;1:4000;-;1986;-
Pálmonostora;270;221;DAT;1:2000;-;2002;-;5108;DAT;1:4000;-;2002;-;0;;;-;-;-
Petõfiszállás;1543;70;DAT;1:2000;-;2002;-;6708;DAT;1:4000;-;2002;-;0;;;-;-;-
Pirtó;1539;83;EOV;1:2000;-;2001;-;3345;Szt;1:2880;-;1961;1977;19;Szt;1:2880;-;1961;1977
Rém;2631;168;DAT;1:2000;-;2005;-;3816;DAT;1:4000;-;2005;-;9;DAT;1:4000;-;2005;-
Solt;2911;717;EOV;1:2000;-;1985;-;12010;EOV;1:4000;-;1986;-;540;EOV;1:2000;-;1986;-
